"AB106","AB107","AB108","AB109","AB110","AB111","AB112","AB113","AB114","AB115","AB116","AB117","AB118","AB119"
"B","G","C","C","G","G","H","G","F","G","B","F","G","H"
"U","G","G","B","G","G","B","C","B","G","B","F","C","C"
"U","G","G","B","G","G","B","A","B","G","C","G","C","B"
"U","F","C","B","C","G","H","G","B","C","C","H","C","C"
"B","G","C","B","G","G","A","G","B","B","C","G","C","G"
"A","G","G","B","G","G","A","B","B","C","C","G","C","C"
"U","G","C","B","G","G","B","A","B","F","B","C","C","C"
"G","G","C","B","C","G","A","F","B","F","C","H","G","C"
"U","G","G","B","G","G","A","F","B","B","B","C","G","G"
"U","F","G","H","G","G","G","H","B","C","C","F","C","C"
"B","G","C","A","G","G","B","C","B","G","B","C","C","C"
"C","G","G","B","G","C","B","F","B","B","B","F","C","C"
"U","U","U","U","G","U","U","U","U","G","A","N","G","U"
"U","G","C","B","G","G","A","A","B","G","B","F","G","C"
"B","G","C","C","G","G","A","G","B","B","C","G","C","C"
"U","G","G","B","G","G","G","G","F","B","C","N","G","C"
"U","F","G","B","C","U","B","A","B","F","B","H","C","G"
"B","G","C","B","G","G","H","A","B","G","C","G","G","C"
"U","G","G","B","G","G","B","F","B","F","C","G","C","C"
"U","F","C","B","G","G","B","H","B","F","B","C","G","B"
"U","F","C","B","G","G","B","G","B","F","B","H","C","C"
"U","G","C","G","C","G","A","G","B","F","B","F","C","H"
"U","F","G","B","G","U","U","A","B","G","B","C","C","C"
"B","G","G","F","G","G","G","H","B","B","C","G","G","G"
"U","G","G","B","G","G","G","G","U","C","C","G","C","C"
"B","G","C","C","G","G","A","G","B","F","C","G","G","G"
"U","F","C","B","G","G","G","F","B","C","C","G","C","G"
"U","G","C","B","G","C","H","F","B","C","B","F","C","H"
"B","G","G","C","G","G","H","H","B","B","C","G","C","C"
"U","F","C","B","C","U","H","A","B","B","B","N","C","U"
"U","C","G","B","G","G","G","F","B","G","B","H","C","B"
